index,build,test_index,RATE,SIZE,NTHREADS,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
0,local,0,100.0,64,1,10209496.0,6860.7827328,0.79978871941097,0.00032185648148148,0
1,local,0,100.0,64,1,10171588.0,6835.307376,0.80054505445358,0.00032444174382716,1
2,local,1,0.1,64,1,145253.0,97.6191456,0.00079590723450096,2.9635416666667e-05,0
3,local,1,0.1,64,1,144952.0,97.417008,0.00097385479018697,2.9746527777778e-05,1
4,local,2,100.0,256,1,10328018.0,22804.2295072,0.73855565217914,0.00044873341049383,0
5,local,2,100.0,256,1,10376470.0,22911.2099424,0.73372067382006,0.00045265547839506,1
6,local,3,0.1,256,1,145227.0,320.524272,0.00084279615684957,3.0848765432099e-05,0
7,local,3,0.1,256,1,145259.0,320.5952256,0.00084192222399537,3.0682098765432e-05,1
8,local,4,100.0,1024,1,10082622.0,84209.428032,0.14190057071239,0.00072233063271605,0
9,local,4,100.0,1024,1,10079117.0,84180.1522752,0.14233349868401,0.0007240401234567899,1
10,local,5,0.1,1024,1,145317.0,1212.9705216,,3.4978780864198e-05,0
11,local,5,0.1,1024,1,145354.0,1213.2900096,,3.489274691358e-05,1
12,local,6,100.0,64,4,39590948.0,26605.6062784,0.1489114876224,0.00021086689814815,0
13,local,6,100.0,64,4,39624369.0,26627.6719104,0.14960561224505,0.00021033063271605,1
14,local,7,0.1,64,4,145322.0,97.6656384,,1.6094135802469e-05,0
15,local,7,0.1,64,4,145368.0,97.6963584,,1.5601080246914e-05,1
16,local,8,100.0,256,4,28361614.0,62622.2991904,0.00018815909376457,0.00021984799382715998,0
17,local,8,100.0,256,4,28099938.0,62044.5137344,0.00014293717378722,0.00022284336419753,1
18,local,9,0.1,256,4,145278.0,320.6387712,,1.7092978395062e-05,0
19,local,9,0.1,256,4,145368.0,320.836608,,1.6891589506172997e-05,1
20,local,10,100.0,1024,4,11291806.0,94308.411344,,0.00054759992283951,0
21,local,10,100.0,1024,4,11328156.0,94612.0089888,,0.00054701427469136,1
22,local,11,0.1,1024,4,145342.0,1213.1837952,,2.4951388888889e-05,0
23,local,11,0.1,1024,4,145348.0,1213.2366336,,2.4924768518519e-05,1
24,local,12,100.0,64,16,44912293.0,30182.3602848,0.00023088122408943,1.4354938271605e-05,0
25,local,12,100.0,64,16,44933035.0,30195.62928,2.648092804125e-05,1.4366512345679001e-05,1
26,local,13,0.1,64,16,145246.0,97.6145664,,1.0802854938272001e-05,0
27,local,13,0.1,64,16,145381.0,97.7055744,,1.0766975308642e-05,1
28,local,14,100.0,256,16,28334237.0,62561.8417472,2.1637181622403e-05,0.00021899035493827,0
29,local,14,100.0,256,16,28186979.0,62236.7051584,,0.00022012692901235,1
30,local,15,0.1,256,16,145348.0,320.7942144,,1.2710262345679e-05,0
31,local,15,0.1,256,16,145360.0,320.8221472,,1.3168981481481e-05,1
32,local,16,100.0,1024,16,11322874.0,94567.89872,,0.00054659220679012,0
33,local,16,100.0,1024,16,11322938.0,94568.4283648,,0.00054671026234568,1
34,local,17,0.1,1024,16,145283.0,1212.7020288,,2.4331790123457e-05,0
35,local,17,0.1,1024,16,145373.0,1213.4504448,,2.4328317901235e-05,1
