index,build,test_index,RATE,SIZE,QUEUES,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,run_index,AVG-LAT
0,local,0,100.0,64,1,4728.0,3.934288,0.99991597206183,0,
1,local,0,100.0,64,1,4749.0,3.9515456,0.99991550691778,1,
2,local,1,0.1,64,1,145323.0,120.9186144,0.00013210121429919,0,0.00037720987654320996
3,local,1,0.1,64,1,145354.0,120.9438464,0.0001320734989021,1,0.00037280979938272
4,local,2,100.0,256,1,3415.0,8.086768,0.99992318116569,0,
5,local,2,100.0,256,1,3778.0,8.9480544,0.99991500873364,1,
6,local,3,0.1,256,1,145336.0,344.0203616,,0,0.00038734027777778
7,local,3,0.1,256,1,145368.0,344.0962304,,1,0.00038634413580247
8,local,4,100.0,1024,1,708233.0,6028.382592,0.93973062339866,0,
9,local,4,100.0,1024,1,708153.0,6027.714896,0.93974551822312,1,
10,local,5,0.1,1024,1,145304.0,1236.112368,,0,0.00040878742283950996
11,local,5,0.1,1024,1,145349.0,1236.4937984,,1,0.00040655864197531005
12,local,6,100.0,64,4,35684.0,29.689568,0.99935778922574,0,
13,local,6,100.0,64,4,652695.0,543.0435456,0.98804909866246,1,
14,local,7,0.1,64,4,145341.0,120.9331968,0.00013208512886553,0,0.00030245949074074
15,local,7,0.1,64,4,146319.0,123.8443008,,1,0.0003033962191358
16,local,7,0.1,64,4,145640.0,121.8427776,,2,0.00031188966049382997
17,local,8,100.0,256,4,15138.0,35.846352,0.99965945852682,0,
18,local,8,100.0,256,4,13088.0,30.9943712,0.9997056039478,1,
19,local,9,0.1,256,4,145354.0,344.0644352,,0,0.00030501581790123
20,local,9,0.1,256,4,145362.0,344.0809824,,1,0.00030371797839506
21,local,10,100.0,1024,4,3591670.0,30571.9867392,0.69437864255272,0,0.0048566041666667
22,local,10,100.0,1024,4,3623150.0,30839.9582784,0.69170466647823,1,0.0048999417438272
23,local,11,0.1,1024,4,145335.0,1236.3832672,,0,0.00028775540123457
24,local,11,0.1,1024,4,146306.0,1239.3368896,,1,0.00031874922839506003
25,local,12,100.0,64,8,48987.0,40.7572768,0.99912186545376,0,
26,local,12,100.0,64,8,834488.0,694.2943872,0.98469385983607,1,
27,local,13,0.1,64,8,145337.0,120.9294752,3.7841493679469e-05,0,0.00028896141975309
28,local,13,0.1,64,8,145355.0,120.9452384,2.9585310274194e-05,1,0.00029020563271605
29,local,13,0.1,64,8,145338.0,120.9303616,,2,0.00029013310185184996
30,local,14,100.0,256,8,57701.0,136.6365312,0.99870134855154,0,
31,local,14,100.0,256,8,59336.0,140.5084512,0.99866471339936,1,
32,local,15,0.1,256,8,145323.0,343.9894016,,0,0.0002896400462963
33,local,15,0.1,256,8,146330.0,347.002976,,1,0.00028898186728395
34,local,16,100.0,1024,8,7748310.0,65953.5656288,0.3402072667481,0,0.0047046338734568
35,local,16,100.0,1024,8,7873645.0,67020.4305088,0.32976645055784,1,0.0066305208333333
36,local,17,0.1,1024,8,145325.0,1236.2981312,2.5459369598524e-05,0,0.0002957912808642
37,local,17,0.1,1024,8,145336.0,1236.3841024,,1,0.00030164274691358
38,local,17,0.1,1024,8,145335.0,1236.3832672,,2,0.00030123456790123
