index,build,test_index,SIZE,QUEUES,RX-RATE-PPS,RX-RATE-MBPS,LOSE-RATE,AVG-LAT,run_index
0,DOCA version,0,64,1,2136728.0,1777.7584192,0.96089606095136,0.0,0
1,DOCA version,0,64,1,2132071.0,1773.8830784,0.96072335383917,0.0,1
2,DOCA version,0,64,1,2132171.0,1773.9667488,0.96078039298119,0.0,2
3,DOCA version,1,128,1,2120191.0,2849.5355904,0.95946412146625,0.0,0
4,DOCA version,1,128,1,2119577.0,2848.7106336,0.95936973282013,0.0,1
5,DOCA version,1,128,1,2150706.0,2890.5475616,0.95874467996252,0.0,2
6,DOCA version,2,256,1,2148863.0,5088.501104,0.95038707165997,0.0,0
7,DOCA version,2,256,1,2148913.0,5088.6187744,0.95036127145182,0.0,1
8,DOCA version,2,256,1,2141643.0,5071.4041152,0.9505345885089,0.0,2
9,DOCA version,3,512,1,2141438.0,9456.563216,0.90702004523563,0.0,0
10,DOCA version,3,512,1,2141848.0,9458.37456,0.90705438044355,0.0,1
11,DOCA version,3,512,1,2141595.0,9457.2510016,0.90709571272216,0.0,2
12,DOCA version,4,1024,1,2141591.0,18229.09792,0.8177621370507,0.0,0
13,DOCA version,4,1024,1,2141643.0,18229.54008,0.81777692499272,0.0,1
14,DOCA version,4,1024,1,2141695.0,18229.9840864,0.81775748133157,0.0,2
15,DOCA version,5,64,2,4289227.0,3568.6380032,0.91961943843978,0.0,0
16,DOCA version,5,64,2,4288511.0,3568.0420736,0.91942846443924,0.0,1
17,DOCA version,5,64,2,4289176.0,3568.5954752,0.91930076147264,0.0,2
18,DOCA version,6,128,2,4286872.0,5761.5544224,0.91697969031158,0.0,0
19,DOCA version,6,128,2,4289227.0,5764.718608,0.91678921112134,0.0,1
20,DOCA version,6,128,2,4288949.0,5764.3431584,0.91683097395901,0.0,2
21,DOCA version,7,256,2,4286053.0,10149.3602464,0.89842135933828,0.0,0
22,DOCA version,7,256,2,4285029.0,10146.9337376,0.89902959358588,0.0,1
23,DOCA version,7,256,2,4286309.0,10149.9674112,0.89923544216041,0.0,2
24,DOCA version,8,512,2,4283799.0,18917.1960768,0.8121820531701,0.0,0
25,DOCA version,8,512,2,4284055.0,18918.3298144,0.81205683374568,0.0,1
26,DOCA version,8,512,2,4283553.0,18916.1133408,0.81221040388404,0.0,2
27,DOCA version,9,1024,2,4281543.0,36444.2335904,0.6297739852592,0.0049410027006173,0
28,DOCA version,9,1024,2,4267054.0,36320.8944064,0.63161909193585,0.004994743441358001,1
29,DOCA version,9,1024,2,4269434.0,36341.156368,0.63126930030686,0.0049408229166667,2
30,DOCA version,10,64,4,8546712.0,7110.8661408,0.83631291396229,0.0,0
31,DOCA version,10,64,4,8548575.0,7112.4159872,0.83459787619442,0.0,1
32,DOCA version,10,64,4,8550142.0,7113.7194496,0.83455686488638,0.0,2
33,DOCA version,11,128,4,8543687.0,11482.7096576,0.83151378616462,0.0,0
34,DOCA version,11,128,4,8542264.0,11480.7959744,0.83167060863208,0.0,1
35,DOCA version,11,128,4,8545010.0,11484.4862912,0.83157117739949,0.0,2
36,DOCA version,12,256,4,8539915.0,20222.4837312,0.78519456224646,0.0,0
37,DOCA version,12,256,4,8540759.0,20224.4870848,0.78585857511017,0.0,1
38,DOCA version,12,256,4,8540258.0,20223.2976512,0.78492394167774,0.0,2
39,DOCA version,13,512,4,8447851.0,37305.5760032,0.6031643354642,0.0043158553240741,0
40,DOCA version,13,512,4,8501772.0,37543.6968736,0.60257835569972,0.004334131558642,1
41,DOCA version,13,512,4,8465229.0,37382.3178688,0.60425054979397,0.0043055875771604996,2
42,DOCA version,14,1024,4,8536483.0,72662.0036896,0.22938653618159,0.004136324459876501,0
43,DOCA version,14,1024,4,8538986.0,72683.3010208,0.22342885746101,0.0039773680555556,1
44,DOCA version,14,1024,4,8537022.0,72666.5516352,0.22606541943043,0.0036827978395062,2
45,DOCA version,15,64,8,17091676.0,14220.2764864,0.66228623001719,0.0043842943672840005,0
46,DOCA version,15,64,8,17089699.0,14218.6311312,0.66193502544631,0.0,1
47,DOCA version,15,64,8,17090461.0,14219.2658752,0.66199709627145,0.0,2
48,DOCA version,16,128,8,17077525.0,22952.177424,0.63486707046172,0.0042864691358025005,0
49,DOCA version,16,128,8,17084838.0,22962.0056704,0.63661756967988,0.0043878009259259,1
50,DOCA version,16,128,8,17083945.0,22960.8048704,0.63540574941624,0.0043798672839506,2
51,DOCA version,17,256,8,17078405.0,40441.5905504,0.49159165164735,0.0035385752314814997,0
52,DOCA version,17,256,8,17076015.0,40435.9239392,0.48092773060084,0.0036698530092593,1
53,DOCA version,17,256,8,17074749.0,40432.9370336,0.49975147024323,0.0037254039351852,2
54,DOCA version,18,512,8,16271282.0,71853.6529344,0.074035154537183,0.0072359656635802,0
55,DOCA version,18,512,8,16218090.0,71618.748048,0.076855657034521,0.0074932750771605,1
56,DOCA version,18,512,8,16239583.0,71713.6774336,0.074754734059995,0.0074318734567901,2
57,DOCA version,19,1024,8,10808164.0,91998.3341088,0.00017330189489817,0.0023215293209877,0
58,DOCA version,19,1024,8,10871496.0,92537.4136064,0.0001648075464934,0.0023655038580247,1
59,DOCA version,19,1024,8,11079035.0,94303.9956608,0.00016918285592071,0.0024332881944444,2
